symbol	desc	logFC	adj.P.Val	B
 FAM3D 	 family with sequence similarity 3, member D 	-0.1930538685	0.3804040062	-5.9999072766
 FAM43A 	 family with sequence similarity 43, member A 	0.2703730861	0.434363707	-6.1935338107
 FAM43B 	 family with sequence similarity 43, member B 	-0.1247600438	0.4485658092	-6.2393202907
 FAM45A 	 family with sequence similarity 45, member A 	-0.4668106983	0.057674714	-2.7303649589
 FAM45B 	 family with sequence similarity 45, member A pseudogene 	-0.4656944083	0.0461105069	-2.3370559938
 FAM46A 	 family with sequence similarity 46, member A 	0.0715939876	0.7391974252	-6.8505372353
 FAM46B 	 family with sequence similarity 46, member B 	-0.4009066111	0.1832752991	-4.7937727618
 FAM46C 	 family with sequence similarity 46, member C 	1.0925404382	0.0258179871	-1.2168611571
 FAM46D 	 family with sequence similarity 46, member D 	-0.1216032009	0.4181025545	-6.1386415651
 FAM47A 	 family with sequence similarity 47, member A 	-0.1970405078	0.4815871923	-6.3392031094
 FAM47B 	 family with sequence similarity 47, member B 	0.1113388582	0.4599981968	-6.2732825876
 FAM47C 	 family with sequence similarity 47, member C 	-0.1916979302	0.3149686459	-5.708469674
 FAM47DP 	 family with sequence similarity 47, member D, pseudogene 	-0.2860228358	0.366738342	-5.9426624829
 FAM47E 	 family with sequence similarity 47, member E 	-0.7192155315	0.0294098864	-1.4809945767
 FAM49A 	 family with sequence similarity 49, member A 	1.5580831087	0.0070491224	1.0124720307
 FAM49B 	 family with sequence similarity 49, member B 	0.8279018064	0.0567076607	-2.7034624363
 FAM50A 	 family with sequence similarity 50, member A 	0.2945746361	0.2200446554	-5.1234180027
 FAM50B 	 family with sequence similarity 50, member B 	0.0319107082	0.8977804066	-7.0054788047
 FAM53A 	 family with sequence similarity 53, member A 	-0.1608981201	0.3325199465	-5.7935180527
 FAM53B 	 family with sequence similarity 53, member B 	0.4818655218	0.0790440039	-3.301555828
 FAM53C 	 family with sequence similarity 53, member C 	0.1912596241	0.3035138743	-5.6480102227
 FAM57A 	 family with sequence similarity 57, member A 	0.4393746442	0.1372708456	-4.2807274874
 FAM57B 	 family with sequence similarity 57, member B 	-0.2217079454	0.2825421905	-5.5340509206
 FAM58A 	 family with sequence similarity 58, member A 	0.0212446454	0.9025995253	-7.0082452607
 FAM58BP 	 family with sequence similarity 58, member B, pseudogene 	-0.109091872	0.6404827662	-6.6985433249
 FAM58DP 	 family with sequence similarity 58, member D, pseudogene 	-0.0911728059	0.60487431	-6.6312568056
 FAM60A 	 family with sequence similarity 60, member A 	0.350807728	0.0841753728	-3.4116927576
 FAM63A 	 family with sequence similarity 63, member A 	0.14096098	0.6333473356	-6.6855012863
 FAM63B 	 family with sequence similarity 63, member B 	-0.4968425242	0.1132512693	-3.9346397565
 FAM64A 	 family with sequence similarity 64, member A 	0.3397943884	0.0612749095	-2.8435625609
 FAM65A 	 family with sequence similarity 65, member A 	0.4146512134	0.1058742983	-3.8193153118
 FAM65B 	 family with sequence similarity 65, member B 	1.8914960009	0.0010718867	4.3519953181
 FAM65C 	 family with sequence similarity 65, member C 	-0.1124989645	0.6326649115	-6.6845212063
 FAM69A 	 family with sequence similarity 69, member A 	0.6688298341	0.0397630226	-2.0573037163
 FAM69B 	 family with sequence similarity 69, member B 	-0.2629814085	0.3090612575	-5.6792334781
 FAM69C 	 family with sequence similarity 69, member C 	-0.0687818849	0.6994262085	-6.7949264274
 FAM71A 	 family with sequence similarity 71, member A 	-0.1336924695	0.4455456519	-6.228526607
 FAM71A 	 family with sequence similarity 71, member A 	-0.1199943694	0.6187399228	-6.6599438103
 FAM71B 	 family with sequence similarity 71, member B 	-0.0504675205	0.7677295025	-6.8865691731
 FAM71C 	 family with sequence similarity 71, member C 	-0.2037484835	0.3453002927	-5.8515601474
 FAM71D 	 family with sequence similarity 71, member D 	-0.0120243849	0.9557711397	-7.0318250146
 FAM71E1 	 family with sequence similarity 71, member E1 	-0.1247973522	0.591952522	-6.6061635848
 FAM71E2 	 family with sequence similarity 71, member E2 	-0.2959189429	0.0967746003	-3.6570006703
 FAM71E2 	 family with sequence similarity 71, member E2 	-0.3604272032	0.1353012102	-4.2534957594
 FAM71F1 	 family with sequence similarity 71, member F1 	-0.1010962173	0.6307820098	-6.6813864012
 FAM71F2 	 family with sequence similarity 71, member F2 	-0.1248765451	0.5750014421	-6.5692898077
 FAM72B 	 family with sequence similarity 72, member B 	1.8885804354	0.0129622368	0.0280888751
 FAM72B 	 family with sequence similarity 72, member B 	1.3912046536	0.0145675147	-0.1892580138
 FAM72B 	 family with sequence similarity 72, member B 	1.278666347	0.0164477195	-0.3897811249
 FAM72B 	 family with sequence similarity 72, member B 	1.3654540741	0.016928019	-0.4432003399
 FAM73A 	 family with sequence similarity 73, member A 	-0.3943687485	0.0709610863	-3.1068995824
 FAM73A 	 family with sequence similarity 73, member A 	-0.2686512974	0.3890309807	-6.034201208
 FAM73B 	 family with sequence similarity 73, member B 	0.0191326056	0.9192937274	-7.0172585277
 FAM74A4 	 family with sequence similarity 74, member A4 	-0.1340302764	0.4109824479	-6.1142695374
 FAM74A4 	 family with sequence similarity 74, member A4 	-0.114984706	0.481410771	-6.3385871508
 FAM74A4 	 family with sequence similarity 74, member A4 	-0.0689494129	0.6817575323	-6.7662003772
 FAM74A4 	 family with sequence similarity 74, member A4 	-0.0689460797	0.6836323914	-6.7701522894
 FAM74A4 	 family with sequence similarity 74, member A4 	-0.0067923466	0.9718510902	-7.0357665495
 FAM74A4 	 family with sequence similarity 74, member A4 	0.003368203	0.9852176008	-7.0375279932
 FAM74A7 	 family with sequence similarity 74, member A7, pseudogene 	-0.0314137942	0.8713493512	-6.9880939999
 FAM76A 	 family with sequence similarity 76, member A 	-0.1225255492	0.4337933745	-6.1919874659
 FAM76B 	 family with sequence similarity 76, member B 	0.2117412521	0.3076963528	-5.670528752
 FAM78A 	 family with sequence similarity 78, member A 	1.5633332289	0.0006086405	5.7564240055
 FAM78B 	 family with sequence similarity 78, member B 	-0.1168014484	0.6034195549	-6.6282149356
 FAM81A 	 family with sequence similarity 81, member A 	-0.4237678399	0.0598809361	-2.7980026107
 FAM81B 	 family with sequence similarity 81, member B 	-0.1732391373	0.5981234998	-6.6179600312
 FAM83A 	 family with sequence similarity 83, member A 	-0.2171140218	0.3105591058	-5.6864730972
 FAM83A-AS1 	 FAM83A antisense RNA 1 	-0.2474370697	0.2841620271	-5.543402402
 FAM83B 	 family with sequence similarity 83, member B 	-0.5364258949	0.076398059	-3.2394645846
 FAM83C 	 family with sequence similarity 83, member C 	-0.1994386905	0.2398282523	-5.2654668717
 FAM83D 	 family with sequence similarity 83, member D 	-0.0898796728	0.7500191874	-6.8639976912
 FAM83E 	 family with sequence similarity 83, member E 	-0.1588380363	0.3857417206	-6.0213123179
 FAM83F 	 family with sequence similarity 83, member F 	0.0714739694	0.6803543664	-6.7637470699
 FAM83G 	 family with sequence similarity 83, member G 	0.2838682614	0.1875473516	-4.8363811037
 FAM83H 	 family with sequence similarity 83, member H 	-0.0955030535	0.5777824779	-6.5758329048
 FAM84A 	 family with sequence similarity 84, member A 	0.0735687593	0.6269205341	-6.6745177696
 FAM84B 	 family with sequence similarity 84, member B 	-0.2269373323	0.197711516	-4.9310390113
 FAM86A 	 family with sequence similarity 86, member A 	0.0992724946	0.5550302652	-6.5251250422
 FAM86B1 	 family with sequence similarity 86, member B1 	-0.2377639876	0.1780300064	-4.7408568154
 FAM86B1 	 family with sequence similarity 86, member B1 	-0.1654070799	0.3036017632	-5.6486324379
 FAM86B1 	 family with sequence similarity 86, member B1 	-0.177504352	0.4354700452	-6.1969652987
 FAM86B3P 	 family with sequence similarity 86, member A pseudogene 	0.3193964486	0.1626004375	-4.5814032298
 FAM86B3P 	 family with sequence similarity 86, member A pseudogene 	-0.2100090144	0.3457638284	-5.8539249049
 FAM86C1 	 family with sequence similarity 86, member C1 	-0.0230786541	0.9204880601	-7.0179199385
 FAM86C2P 	 family with sequence similarity 86, member A pseudogene 	-0.2259172567	0.2359277885	-5.2373051779
 FAM86DP 	 family with sequence similarity 86, member D, pseudogene 	0.0165508494	0.9500462812	-7.0302063717
 FAM86EP 	 family with sequence similarity 86, member A pseudogene 	-0.2041850795	0.3398067516	-5.8272692747
 FAM86FP 	 family with sequence similarity 86, member F, pseudogene 	-0.3677284182	0.1771131959	-4.7313937303
 FAM86JP 	 family with sequence similarity 86, member A pseudogene 	-0.2801137328	0.1527732128	-4.4715907696
 FAM86JP 	 family with sequence similarity 86, member A pseudogene 	-0.1392029683	0.3603199585	-5.9162599332
 FAM86MP 	 family with sequence similarity 86, member M, pseudogene 	-0.3539741695	0.0941804165	-3.61211235
 FAM87A 	 family with sequence similarity 87, member A 	-0.2685065801	0.3008145867	-5.6317774042
 FAM87B 	 family with sequence similarity 87, member B 	-0.0580674606	0.7772895602	-6.8974756858
 FAM89A 	 family with sequence similarity 89, member A 	0.0307655032	0.864347135	-6.9828353386
 FAM89B 	 family with sequence similarity 89, member B 	0.846071211	0.0254519614	-1.1875160472
 FAM8A1 	 family with sequence similarity 8, member A1 	-0.2403820713	0.1865325902	-4.8276580234
 FAM90A1 	 family with sequence similarity 90, member A1 	0.1278178266	0.6071286189	-6.6363116018
 FAM90A1 	 family with sequence similarity 90, member A1 	0.0815006827	0.7577939073	-6.8739461084
 FAM90A1 	 family with sequence similarity 90, member A1 	0.075858161	0.7794029448	-6.9002901266
 FAM90A27P 	 family with sequence similarity 90, member A27, pseudogene 	-0.4170315859	0.0842347892	-3.4139727663
 FAM90A7P 	 putative protein FAM90A7 	0.1041962867	0.6589073978	-6.7307288964
 FAM90A7P 	 putative protein FAM90A7 	0.0661355409	0.7800831941	-6.9011968913
 FAM90A7P 	 putative protein FAM90A7 	0.0536271636	0.8361101556	-6.9589931934
 FAM90A7P 	 putative protein FAM90A7 	0.0536271636	0.8361101556	-6.9589931934
 FAM90A7P 	 putative protein FAM90A7 	0.0536271636	0.8361101556	-6.9589931934
 FAM90A7P 	 putative protein FAM90A7 	0.0536271636	0.8361101556	-6.9589931934
 FAM90A7P 	 putative protein FAM90A7 	0.044591308	0.862089446	-6.9809663523
 FAM90A7P 	 putative protein FAM90A7 	0.044591308	0.862089446	-6.9809663523
 FAM90A7P 	 putative protein FAM90A7 	0.0355010491	0.8821222535	-6.9954088149
 FAM91A1 	 family with sequence similarity 91, member A1 	-0.3248196739	0.1871583885	-4.8332867698
 FAM92A1 	 family with sequence similarity 92, member A1 	-0.48347895	0.0285775998	-1.4281970953
 FAM92A1P1 	 family with sequence similarity 92, member A1 pseudogene 1 	-0.1938741915	0.3679429125	-5.9479586395
 FAM92A1P2 	 family with sequence similarity 92, member A3 	-0.2121171979	0.2979043826	-5.616012461
 FAM92B 	 family with sequence similarity 92, member B 	-0.164735453	0.2724240916	-5.4750067258
 FAM95B1 	 family with sequence similarity 95, member B1 	-0.4093691248	0.0511118574	-2.5156842314
 FAM95B1 	 family with sequence similarity 95, member B1 	-0.4093691248	0.0511118574	-2.5156842314
 FAM96A 	 family with sequence similarity 96, member A 	0.0952530199	0.6010634121	-6.6240548071
 FAM96B 	 family with sequence similarity 96, member B 	0.0732929921	0.7804612937	-6.9015742885
 FAM98A 	 family with sequence similarity 98, member A 	-0.202182096	0.2900213017	-5.5741125581
 FAM98B 	 family with sequence similarity 98, member B 	-0.233547646	0.1997135403	-4.9504046902
 FAM98C 	 family with sequence similarity 98, member C 	0.2133522447	0.4280452437	-6.1711662036
 FAM99A 	 family with sequence similarity 99, member A (non-protein coding) 	-0.5187644642	0.1308322322	-4.1965960303
 FAM99A 	 family with sequence similarity 99, member A (non-protein coding) 	-0.2828098883	0.2240775607	-5.1565465203
 FAM9A 	 family with sequence similarity 9, member A 	-0.006298643	0.9740938976	-7.0360837747
 FAM9B 	 family with sequence similarity 9, member B 	-0.0118962118	0.9516292715	-7.0306288238
 FAM9C 	 family with sequence similarity 9, member C 	-0.0580541492	0.7546687807	-6.8704371407
 FAN1 	 FANCD2	-0.2096192477	0.331315117	-5.7878170044
 FANCA 	 Fanconi anemia, complementation group A 	0.8950317893	0.0208654545	-0.8131810789
 FANCB 	 Fanconi anemia, complementation group B 	0.4661932195	0.0485870098	-2.4213426444
 FANCC 	 Fanconi anemia, complementation group C 	-0.1844964378	0.2657447126	-5.4314688933
 FANCD2 	 Fanconi anemia, complementation group D2 	1.2811672007	0.0012280714	4.0836237096
 FANCD2OS 	 FANCD2 opposite strand 	-0.1145425539	0.5744951195	-6.5679953145
 FANCE 	 Fanconi anemia, complementation group E 	0.2942317851	0.3100178511	-5.683963804
 FANCF 	 Fanconi anemia, complementation group F 	-0.0435910983	0.8679138271	-6.9855392612
 FANCG 	 Fanconi anemia, complementation group G 	0.8630893713	0.011818866	0.1670471256
 FANCI 	 Fanconi anemia, complementation group I 	1.7292629276	0.0024753395	2.9272219036
 FANCL 	 Fanconi anemia, complementation group L 	0.1751754063	0.4371561741	-6.2024416872
 FANCM 	 Fanconi anemia, complementation group M 	-0.0413369135	0.868267578	-6.9858275407
 FANK1 	 fibronectin type III and ankyrin repeat domains 1 	-0.0950688635	0.7727072593	-6.8921909448
 FAP 	 fibroblast activation protein, alpha 	0.2522949729	0.4510681603	-6.2466870743
 FAR1 	 fatty acyl CoA reductase 1 	0.0646164023	0.7932322243	-6.9157350204
 FAR2 	 fatty acyl CoA reductase 2 	0.6517107489	0.0582202983	-2.750628806
 FAR2P1 	 fatty acyl CoA reductase 2 pseudogene 1 	-0.0517711293	0.8419433721	-6.9647298858
 FARP1 	 FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived) 	-0.3228386182	0.0845944598	-3.4228844118
 FARP2 	 FERM, RhoGEF and pleckstrin domain protein 2 	0.0509228244	0.8035711256	-6.9266718668
 FARS2 	 phenylalanyl-tRNA synthetase 2, mitochondrial 	0.2270015329	0.2546285383	-5.3605252378
 FARSA 	 phenylalanyl-tRNA synthetase, alpha subunit 	0.3472558847	0.1159161193	-3.9780390826
 FARSB 	 phenylalanyl-tRNA synthetase, beta subunit 	0.1302904949	0.4476650801	-6.2359060194
 FAS 	 Fas cell surface death receptor 	0.4988481572	0.1620686377	-4.5762529708
 FASLG 	 Fas ligand (TNF superfamily, member 6) 	0.5413417738	0.0840831788	-3.4101052054
 FASN 	 fatty acid synthase 	-0.1709973745	0.3421163234	-5.8361549476
 FASTK 	 Fas-activated serine	0.1587990797	0.4955027602	-6.3788740469
 FASTKD1 	 FAST kinase domains 1 	-0.3055257032	0.3151275901	-5.7091558915
 FASTKD2 	 FAST kinase domains 2 	-0.4349942745	0.1113063818	-3.9048020167
 FASTKD3 	 FAST kinase domains 3 	-0.3934588111	0.0771659139	-3.2618544109
 FAT1 	 FAT atypical cadherin 1 	-0.3413654814	0.1298062667	-4.1837895942
 FAT2 	 FAT atypical cadherin 2 	-0.2460885651	0.2315402454	-5.2059502551
 FAT3 	 FAT atypical cadherin 3 	-0.0270571021	0.895807732	-7.004199701
 FAT4 	 FAT atypical cadherin 4 	-0.7430513891	0.0277499462	-1.3677524836
 FATE1 	 fetal and adult testis expressed 1 	-0.1991194496	0.2741465762	-5.4847921785
 FAU 	 Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed 	0.0622130696	0.8272176684	-6.9510139893
 FAUP1 	 FBR-MuSV-associated ubiquitously expressed (fox derived) pseudogene 1 	-0.3988475917	0.2733529344	-5.4798200104
 FAXC 	 failed axon connections homolog (Drosophila) 	-0.1037733585	0.6223124618	-6.6662222701
 FAXDC2 	 fatty acid hydroxylase domain containing 2 	-0.2822763405	0.4456379766	-6.2291402994
 FBF1 	 Fas (TNFRSF6) binding factor 1 	0.0444180974	0.8287697344	-6.9525803947
 FBL 	 fibrillarin 	0.6741753979	0.0206855145	-0.7992976361
 FBLIM1 	 filamin binding LIM protein 1 	0.0712101455	0.8841960987	-6.9966156307
 FBLL1 	 fibrillarin-like 1 	-0.3705167586	0.1671993045	-4.6286915084
 FBLN1 	 fibulin 1 	-0.2810376376	0.4505412724	-6.2449298497
 FBLN2 	 fibulin 2 	-0.4572739404	0.0381499761	-1.9798977802
 FBLN5 	 fibulin 5 	-0.161836539	0.6157578996	-6.6533750972
 FBLN7 	 fibulin 7 	0.3690706014	0.1527103941	-4.4698201975
 FBN1 	 fibrillin 1 	-0.3422335203	0.3846497706	-6.0161589994
 FBN2 	 fibrillin 2 	-0.3313538646	0.6523122233	-6.7198505449
 FBN3 	 fibrillin 3 	-0.1938898069	0.3081515646	-5.6739373817
 FBP1 	 fructose-1,6-bisphosphatase 1 	-0.8954253796	0.0615881749	-2.8543819847
 FBP2 	 fructose-1,6-bisphosphatase 2 	-0.519015906	0.037703175	-1.9528397784
 FBRS 	 fibrosin 	0.3242114244	0.1202769669	-4.0485723757
 FBRSL1 	 fibrosin-like 1 	0.0307028613	0.8723989717	-6.9887517559
 FBXL12 	 F-box and leucine-rich repeat protein 12 	0.4471904495	0.1091825587	-3.8756693216
 FBXL13 	 F-box and leucine-rich repeat protein 13 	-0.2945755452	0.1896977471	-4.8590286789
 FBXL14 	 F-box and leucine-rich repeat protein 14 	-0.2076026062	0.2336540736	-5.2202848724
 FBXL15 	 F-box and leucine-rich repeat protein 15 	0.0475935014	0.7869022968	-6.9091331527
 FBXL16 	 F-box and leucine-rich repeat protein 16 	-0.0643350282	0.8054817668	-6.9286033873
 FBXL17 	 F-box and leucine-rich repeat protein 17 	-0.2400918505	0.1684062492	-4.6410910136
 FBXL18 	 F-box and leucine-rich repeat protein 18 	0.0647840908	0.6827144313	-6.7679890439
 FBXL19 	 F-box and leucine-rich repeat protein 19 	-0.0138059065	0.9346049276	-7.0240466449
 FBXL19-AS1 	 FBXL19 antisense RNA 1 (head to head) 	0.2532553757	0.2174492007	-5.1021765176
 FBXL2 	 F-box and leucine-rich repeat protein 2 	-0.3555470568	0.2000525905	-4.9540242066
 FBXL20 	 F-box and leucine-rich repeat protein 20 	-0.0711922878	0.6646126095	-6.7400675938
 FBXL21 	 F-box and leucine-rich repeat protein 21 (gene	-1.0867976696	0.009928352	0.444884245
 FBXL22 	 F-box and leucine-rich repeat protein 22 	-0.4653319969	0.2049386176	-4.9981850384
 FBXL3 	 F-box and leucine-rich repeat protein 3 	-0.2807544566	0.2186536799	-5.1109655505
 FBXL4 	 F-box and leucine-rich repeat protein 4 	-0.511714585	0.03945558	-2.0390949303
 FBXL5 	 F-box and leucine-rich repeat protein 5 	-0.5492739377	0.0274310601	-1.340019949
 FBXL7 	 F-box and leucine-rich repeat protein 7 	-0.383244104	0.3751322353	-5.9787752837
 FBXL8 	 F-box and leucine-rich repeat protein 8 	-0.0168920728	0.9238512943	-7.019299353
 FBXO11 	 F-box protein 11 	-0.1954609594	0.4280756219	-6.1715977327
 FBXO15 	 F-box protein 15 	-0.3620364677	0.0621821469	-2.8720417005
 FBXO16 	 F-box protein 16 	-0.1448585102	0.6889481531	-6.7785448241
 FBXO17 	 F-box protein 17 	-0.3641499073	0.0893792253	-3.5147520794
 FBXO17 	 F-box protein 17 	-0.4227615673	0.1112059896	-3.9033297805
 FBXO18 	 F-box protein, helicase, 18 	0.1400925214	0.5273704977	-6.4592121694
 FBXO2 	 F-box protein 2 	0.0493743033	0.8361101556	-6.958957435
 FBXO21 	 F-box protein 21 	-0.422494751	0.0644406446	-2.930793718
 FBXO22 	 F-box protein 22 	-0.2465973789	0.1885828489	-4.8485720679
 FBXO24 	 F-box protein 24 	-0.1640024132	0.3793130946	-5.9964188724
 FBXO25 	 F-box protein 25 	-0.4107709293	0.1617927404	-4.5733882611
 FBXO25 	 F-box protein 25 	-0.2265747318	0.1630982301	-4.5871253317
 FBXO27 	 F-box protein 27 	0.0298686509	0.8932792882	-7.0025384061
 FBXO28 	 F-box protein 28 	-0.168270175	0.3151357349	-5.7092535234
 FBXO3 	 F-box protein 3 	-0.3812418749	0.0521642652	-2.560775531
 FBXO30 	 F-box protein 30 	-0.2535751751	0.1528875981	-4.4728997492
 FBXO31 	 F-box protein 31 	0.0542753407	0.8654862624	-6.9836422833
 FBXO32 	 F-box protein 32 	-0.4651727623	0.6967431156	-6.7906753604
 FBXO33 	 F-box protein 33 	0.0062833377	0.9797477123	-7.0369021302
 FBXO34 	 F-box protein 34 	-0.1550021919	0.3293938224	-5.7799814055
 FBXO36 	 F-box protein 36 	-0.2269504543	0.2819036409	-5.5293123636
 FBXO38 	 F-box protein 38 	0.0309274786	0.8907694743	-7.0009786063
 FBXO39 	 F-box protein 39 	-0.0925833727	0.6051635176	-6.6319036213
 FBXO4 	 F-box protein 4 	-0.0353666591	0.860760326	-6.9801616735
 FBXO40 	 F-box protein 40 	-0.9278412527	0.313072944	-5.6991292864
 FBXO41 	 F-box protein 41 	0.1973693375	0.2963454248	-5.6076968136
 FBXO42 	 F-box protein 42 	0.375017684	0.2237333547	-5.1530206783
 FBXO43 	 F-box protein 43 	0.1177248089	0.5519372186	-6.517973746
 FBXO44 	 F-box protein 44 	-0.015502165	0.9583113331	-7.0325342915
 FBXO45 	 F-box protein 45 	0.1950602993	0.4569604775	-6.2638342402
 FBXO46 	 F-box protein 46 	0.1243786365	0.4641556163	-6.2859576283
 FBXO47 	 F-box protein 47 	0.029992157	0.8676611247	-6.9853510905
 FBXO48 	 F-box protein 48 	-0.2247392779	0.2385012915	-5.2559969772
 FBXO5 	 F-box protein 5 	1.0003163138	0.0175543038	-0.5186418436
 FBXO6 	 F-box protein 6 	0.5816620287	0.0536782753	-2.6131729214
 FBXO7 	 F-box protein 7 	-0.1745777635	0.2624844008	-5.4110643563
 FBXO8 	 F-box protein 8 	0.0772002877	0.6645814751	-6.7397336828
 FBXO9 	 F-box protein 9 	-0.3418918187	0.1231019249	-4.0859533672
 FBXO9 	 F-box protein 9 	-0.2818419907	0.2435976952	-5.290829795
 FBXO9 	 F-box protein 9 	-0.142800513	0.5069301504	-6.4095910914
 FBXO9 	 F-box protein 9 	0.0050411764	0.9795236706	-7.0368467741
 FBXW10 	 F-box and WD repeat domain containing 10 	0.218504184	0.6154273457	-6.6523404421
 FBXW10 	 F-box and WD repeat domain containing 10 	0.0651619459	0.6982400299	-6.7927801997
 FBXW11 	 F-box and WD repeat domain containing 11 	-0.2658612111	0.1891891026	-4.8542856457
 FBXW12 	 F-box and WD repeat domain containing 12 	-0.15693638	0.3637498138	-5.9307651284
 FBXW2 	 F-box and WD repeat domain containing 2 	-0.0016739976	0.9929735118	-7.0380689112
 FBXW4 	 F-box and WD repeat domain containing 4 	0.0052197245	0.9842872767	-7.0374020403
 FBXW4P1 	 F-box and WD repeat domain containing 4 pseudogene 1 	-0.0925851746	0.5744842387	-6.5678399642
 FBXW5 	 F-box and WD repeat domain containing 5 	0.0759048133	0.725976368	-6.8339469243
 FBXW7 	 F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase 	0.4753528927	0.0528533892	-2.5879163816
 FBXW8 	 F-box and WD repeat domain containing 8 	-0.006368267	0.9768308694	-7.0364782984
 FBXW9 	 F-box and WD repeat domain containing 9 	-0.0714798452	0.6998333606	-6.7955961839
 FCAMR 	 Fc receptor, IgA, IgM, high affinity 	-0.1090491332	0.7709622259	-6.8902850087
 FCAR 	 Fc fragment of IgA, receptor for 	0.1663876095	0.3121950381	-5.6948293831
 FCER1A 	 Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide 	0.5504542133	0.198971076	-4.9424502953
 FCER1G 	 Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide 	1.7811725864	0.0044166959	1.8295682982
 FCER2 	 Fc fragment of IgE, low affinity II, receptor for (CD23) 	1.4370172559	0.1132512693	-3.9346856723
 FCF1 	 FCF1 rRNA-processing protein 	-0.0009342545	0.9973001297	-7.0381941977
 FCGBP 	 Fc fragment of IgG binding protein 	-0.0204672763	0.9360270229	-7.0246132347
 FCGR1A 	 Fc fragment of IgG, high affinity Ia, receptor (CD64) 	2.0205063041	0.0130358474	0.0164618719
 FCGR1A 	 Fc fragment of IgG, high affinity Ia, receptor (CD64) 	1.9912437464	0.0161234826	-0.3540803423
 FCGR1A 	 Fc fragment of IgG, high affinity Ia, receptor (CD64) 	2.2579189671	0.0174253775	-0.5029730112
 FCGR1B 	 Fc fragment of IgG, high affinity Ib, receptor (CD64) 	0.1173209391	0.4665152961	-6.2932227156
 FCGR2A 	 Fc fragment of IgG, low affinity IIa, receptor (CD32) 	1.3299462588	0.0036981299	2.151341235
 FCGR2B 	 Fc fragment of IgG, low affinity IIb, receptor (CD32) 	1.9131568654	0.0010603202	4.3949726222
 FCGR2B 	 Fc fragment of IgG, low affinity IIb, receptor (CD32) 	1.1220082808	0.0034114413	2.3341921587
 FCGR3A 	 Fc fragment of IgG, low affinity IIIa, receptor (CD16a) 	1.8960804651	0.0167050763	-0.4198873372
 FCGR3A 	 Fc fragment of IgG, low affinity IIIa, receptor (CD16a) 	1.2040231397	0.0917802661	-3.5650960157
 FCGRT 	 Fc fragment of IgG, receptor, transporter, alpha 	-0.1183042012	0.5904554799	-6.6032255269
 FCHO1 	 FCH domain only 1 	0.6239820287	0.0476212165	-2.3870112255
 FCHO2 	 FCH domain only 2 	-0.2599701333	0.1759959039	-4.7209952284
 FCHSD1 	 FCH and double SH3 domains 1 	0.5567993084	0.0375787696	-1.9469172727
 FCHSD2 	 FCH and double SH3 domains 2 	0.9684593817	0.0042779589	1.8953064305
 FCN1 	 ficolin (collagen	1.5057952795	0.0159398131	-0.3339510722
 FCN2 	 ficolin (collagen	-0.1049259031	0.4908631033	-6.3658944821
 FCN3 	 ficolin (collagen	0.0457240238	0.9037937323	-7.0090147898
 FCRL1 	 Fc receptor-like 1 	1.4387190777	0.0338623746	-1.7406072955
 FCRL2 	 Fc receptor-like 2 	1.1698730292	0.0038044604	2.0962737102
 FCRL3 	 Fc receptor-like 3 	2.4339360214	0.0003930092	7.3912667757
 FCRL4 	 Fc receptor-like 4 	0.037368444	0.8240122139	-6.9478768206
 FCRL5 	 Fc receptor-like 5 	2.0701179148	0.0004502876	6.7521043564
 FCRL6 	 Fc receptor-like 6 	1.1768933755	0.0208654545	-0.8130844955
 FCRLA 	 Fc receptor-like A 	1.8574950009	0.0029836828	2.5976830556
 FCRLB 	 Fc receptor-like B 	-0.1651645113	0.3788524841	-5.9947271172
 FDCSP 	 follicular dendritic cell secreted protein 	0.4571838261	0.3230154039	-5.7477153357
 FDFT1 	 farnesyl-diphosphate farnesyltransferase 1 	0.1751685118	0.5576423678	-6.531475076
 FDPS 	 farnesyl diphosphate synthase 	0.1945834415	0.5505597385	-6.5147540388
 FDPSP2 	 farnesyl diphosphate synthase pseudogene 2 	0.0909632644	0.642563921	-6.7025733513
 FDPSP2 	 farnesyl diphosphate synthase pseudogene 2 	0.0689893731	0.7626491726	-6.8802018693
 FDX1 	 ferredoxin 1 	-0.4730315875	0.0354259407	-1.8349971821
 FDX1L 	 ferredoxin 1-like 	-0.105816978	0.7121809817	-6.8146737275
 FDX1P1 	 ferredoxin 1 pseudogene 1 	-0.7294390484	0.0752530047	-3.2131703082
 FDXACB1 	 ferredoxin-fold anticodon binding domain containing 1 	0.1467685502	0.4519573507	-6.2494013732
 FDXR 	 ferredoxin reductase 	-0.051538184	0.7987713558	-6.9217686647
 FECH 	 ferrochelatase 	-0.9320462032	0.013990032	-0.1119234074
 FEM1A 	 fem-1 homolog a (C. elegans) 	0.070758013	0.7536072175	-6.869260855
 FEM1B 	 fem-1 homolog b (C. elegans) 	-0.0930293503	0.5801131641	-6.5812878466
 FEM1C 	 fem-1 homolog c (C. elegans) 	-0.1113301154	0.5648432305	-6.5475733751
 FEN1 	 flap structure-specific endonuclease 1 	0.5874672265	0.0211890338	-0.8440880939
